Correct	Eps	Cds	P
1	-0.0145716676603952	->	3.84509484859023e-16
0	0.0307131869560788	<-	5.6457558970072e-44
1	-0.0682907256324339	->	5.43886305288285e-62
0	0.0223551567084281	<-	5.82157473610496e-31
1	-0.0900526455109101	->	0
1	-0.0912311879118488	->	0
1	-0.082178311573879	->	0
1	-0.160004927826554	->	0
1	-0.0722901639727367	->	0
1	-0.079316394143258	->	0
1	-0.0957399161169674	->	0
1	-0.0609345971526669	->	0
1	-0.0210137994794428	->	3.13105545036771e-23
1	-0.00123320333630761	->	0.0676289457010305
1	-0.0105384472995688	->	2.25717448341152e-13
1	-0.0234118420481755	->	2.48919703927393e-21
1	-0.068327530676055	->	0
1	-0.0389116337216422	->	2.78758931512537e-37
1	-0.0010986085307193	->	0.23307501457091
1	-0.0960186743701049	->	9.24121342720485e-86
1	-0.00619260995394455	->	1.88604265726844e-08
1	-0.0133565274680064	->	9.53071052095113e-13
1	-0.0669594478539149	->	9.57885473973787e-65
1	-0.0642069885162585	->	9.80565001600521e-60
1	-0.00790553286020834	->	1.89446160113191e-31
1	-0.0471628668461156	->	6.33566004506939e-182
1	-0.0802922804903775	->	1.08736753027849e-298
1	-0.0138582555359921	->	1.06069386335857e-50
1	-0.032490849632424	->	5.04104062347868e-108
1	-0.0111221612010416	->	2.3875880106487e-43
0	0.000927857896776296	<-	0.00025924856854074
1	-0.0704038873450172	->	3.70067548604306e-235
1	-0.0722728286901868	->	1.35440392532133e-50
1	-0.0487865673670382	->	6.70586400035727e-35
1	-0.0380513630904357	->	3.71346913455882e-28
1	-0.0448087813352032	->	1.20764942442455e-31
1	-0.0559724706762871	->	7.68434583900941e-44
1	-0.0523750363297982	->	1.0948882035458e-93
1	-0.0162686736150016	->	1.70355254412902e-16
1	-0.0586276573842427	->	1.12681929426281e-86
1	-0.0180733803216075	->	1.28140259608417e-29
1	-0.0531044623292297	->	0
0	0.00356794328860344	<-	9.63328945230717e-146
0	6.99660015676118e-05	<-	0.00183501062164741
1	-0.00181674712751012	->	5.849441345898e-68
0	0.00669721971749349	<-	1.68311967681453e-278
0	0	--	1
1	0.000736297752037762	<-	0.383884692567705
1	0.00616198389935463	<-	4.73760547691966e-07
1	0.00881997172164206	<-	7.46955180815722e-10
1	0.0326376167521302	<-	7.40564197302933e-34
0	-0.0069252531975228	->	9.90346099732656e-05
0	-0.00438349759342949	->	0.00292039560348563
1	0.0125549121491142	<-	5.50417833986799e-08
0	-0.0101206551765031	->	1.40666599230455e-06
0	-0.00977359863459104	->	2.23285573656367e-06
0	-0.00120431236883645	->	0.201215342422586
1	0.0173085057019666	<-	9.82071278947208e-11
0	-0.00367338758106317	->	0.00751675743664646
1	-0.027212746614951	->	5.19229415413348e-10
1	-0.0021994514227861	->	9.41283034460342e-20
0	0.007031361761213	<-	2.65660015578502e-62
0	0.00290395325211779	<-	2.60627546701149e-25
1	0.0240308039667358	<-	4.04156984919387e-61
1	0.0373851016445788	<-	0
0	0	--	1
1	-0.0258515097655179	->	2.27777296467993e-146
1	0.00800080286126414	<-	0
0	0.0369016678796876	<-	1.4504652108919e-25
0	-0.0110985130706525	->	4.40086623435535e-09
1	-0.015550050626654	->	8.31929126579875e-13
1	0.00239863374757787	<-	1.46923094634981e-67
1	-0.00963311327366689	->	1.80003186089085e-31
1	0.00100699619032885	<-	0.000156868812864393
1	0.00528187165682459	<-	7.06030182427881e-22
1	-0.0118508843433618	->	5.27325592314247e-23
0	0.00169079074269363	<-	0.000580712017998602
0	0.00073706255781314	<-	0.011056139189506
0	-0.00149012302373186	->	4.42097959844828e-24
1	-0.187510879676035	->	0
0	0.00846752759606295	<-	6.50413097459386e-14
1	-0.0389015829358296	->	0
1	-0.0237123447495575	->	1.87133541741656e-24
0	-0.00611539555017182	->	0.00037183061113692
0	-0.00519058394427174	->	0.00278997912331195
1	-0.00947432899265799	->	3.40987937629849e-06
1	0.0211109117348685	<-	1.62315091455131e-11
1	-0.00838570301885899	->	1.03907006266056e-20
1	-0.0668441563206513	->	0
1	-0.0926637277065748	->	0
1	-0.05658986066776	->	0
0	0.0160590523397039	<-	9.80479951838791e-10
0	0.00542812180125385	<-	0.0366807648052692
1	0.0661171185646523	<-	3.80451836878377e-303
1	-0.0107756171503833	->	1.61044131393075e-07
1	-0.0997430982150287	->	1.1795178000128e-66
0	0.0279942035166137	<-	2.44542881133813e-08
1	-0.00518264088671183	->	0.0389794805996985
1	-0.0419985047339274	->	6.98756672446018e-10
1	0.00536922401333717	<-	0.0095699176473046
